Subject Code,Full Department Name
ITALIAN,Italian
JAPANSE,Japanese
JEWSHST,Jewish Studies
KINESIO,Kinesiology
KNHES,Kinesiology: Exercise Science
KNPE,Kinesiology: Physical Education
KNSFHP,"Kinesiology: Sport, Fitness, and Health Program"
KNSISM,Kinesiology: Sports Industry and Sports Management
KOREAN,Korean
LARCH,Landscape Architecture
LATIN,Latin
LING,Linguistics
MATH,Mathematics
MATSCEN,Materials Science and Engineering
MBA,Master of Business Administration
MCDBIO,"Molecular, Cellular, and Developmental Biology"
MDRNGRK,Modern Greek
MEATSCI,Meat Science
MECHENG,Mechanical Engineering
MEDCOLL,Medicine
MEDDIET,Medical Dietetics
MEDLBS,Medical Laboratory Science
MEDREN,Medieval and Renaissance Studies
MICRBIO,Microbiology
MILSCI,Military Science
MOLGEN,Molecular Genetics
MUSIC,Music
MVNGIMG,Moving Image Production
NAVALSC,Naval Science
NELC,Near Eastern Languages and Cultures
NEUROGS,Neuroscience Graduate Studies
NEUROSC,Neuroscience
NRSADVN,Nursing Advancement
NRSPRCT,Nursing Practice
NUCLREN,Nuclear Engineering
NURSING,Nursing
OCCTHER,Occupational Therapy
OPTOM,Optometry
OSBP,Ohio State Biochemistry Program
PHILOS,Philosophy
PHR,Pharmaceutical Sciences
PHYSICS,Physics
PHYSIO,Physiology and Cell Biology
PHYSTHR,Physical Therapy
PLNTPTH,Plant Pathology
POLITSC,Political Science
PORTGSE,Portuguese
PSYCH,Psychology
PUBAFRS,Public Affairs
PUBHBIO,Public Health: Biostatistics
PUBHEHS,Public Health: Environmental Health Sciences
PUBHEPI,Public Health: Epidemiology
PUBHHBP,Public Health: Health Behavior and Health Promotion
PUBHHMP,Public Health: Health Services Management and Policy
PUBHLTH,Public Health
RADSCI,Radiation Sciences
RELSTDS,Religious Studies
RURLSOC,Rural Sociology
RUSSIAN,Russian
SCANDVN,Scandinavian
SCHOLAR,Scholars
SLAVIC,Slavic and East European Languages and Literatures
SOCIOL,Sociology
SOCWORK,Social Work
SOMALI,Somali
SPANISH,Spanish
SPHHRNG,Speech and Hearing Sciences
STAT,Statistics
SWAHILI,Swahili
THEATRE,Theatre
VETBIOS,Veterinary Biosciences
VETCLIN,Veterinary Clinical Sciences
VETPREV,Veterinary Preventive Medicine
VISSCI,Vision Sciences
VMCOLL,Veterinary Medicine
WELDENG,Welding Engineering
WGSST,Womens Gender and Sexuality Studies
YIDDISH,Yiddish & Ashkenazic Studies
